"genus_species","iucn_authority","iucn_category","mature_age","longevity","lat_range","long_range","diet","trophic_level","mass_g","depth_zone","length_m","depth_num"
"Alionematichthys shinoharai","Møller &amp; Schwarzhans, 2008","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.03400000095,NA
"Apagesoma australe","Nielsen, King &amp; Møller, 2008","dd",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.595,NA
"Argyripnus electronus","Parin, 1992","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",NA,572.5
"Argyripnus hulleyi","Quéro, Spitz &amp; Vayne, 2009","dd",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.07300000191,NA
"Astronesthes dupliglandis","Parin &amp; Borodulina, 1997","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.07199999809,385
"Astronesthes lupina","Whitley, 1941","dd",NA,NA,NA,NA,NA,NA,NA,"pelagic-oceanic",NA,NA
"Barathrodemus nasutus","Smith &amp; Radcliffe, 1913","dd",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",NA,NA
"Bassozetus multispinis","Shcherbachev, 1980","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.4470000076,1750
"Bassozetus werneri","Nielsen &amp; Merrett, 2000","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",NA,NA
"Benthocometes australiensis","Nielsen, 2010","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",NA,NA
"Brotula flaviviridis","Greenfield, 2005","dd",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.1510000038,10.5
"Dentex carpenteri","Iwatsuki, Newman &amp; Russell, 2015","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",NA,207.5
"Dermatopsoides kasougae","(Smith, 1943)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.065,NA
"Dermatopsoides morrisonae","Møller &amp; Schwarzhans, 2006","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,7.5
"Diancistrus alatus","Schwarzhans, Møller &amp; Nielsen, 2005","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.03200000048,4.5
"Diancistrus jackrandalli","Schwarzhans, Møller &amp; Nielsen, 2005","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.07900000095,3
"Diancistrus leisi","Schwarzhans, Møller &amp; Nielsen, 2005","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.03299999952,9.5
"Diancistrus manciporus","Schwarzhans, Møller &amp; Nielsen, 2005","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.05300000191,17.5
"Diancistrus niger","Schwarzhans, Møller &amp; Nielsen, 2005","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.045,6
"Diancistrus pohnpeiensis","Schwarzhans, Møller &amp; Nielsen, 2005","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.08199999809,36.5
"Diancistrus robustus","Schwarzhans, Møller &amp; Nielsen, 2005","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.05199999809,4
"Dicrolene vaillanti","(Alcock, 1890)","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",NA,NA
"Dicrolene gregoryi","Trotter, 1926","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",NA,NA
"Dicrolene pullata","Garman, 1899","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",NA,NA
"Diplodus levantinus","Fricke, Golani &amp; Appelbaum-Golani, 2016","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.2310000038,25
"Diplophos pacificus","Günther, 1889","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",NA,NA
"Echiodon coheni","Williams, 1984","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1430000019,125
"Enchelybrotula gomoni","Cohen, 1982","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",NA,2604
"Enchelybrotula paucidens","Smith &amp; Radcliffe, 1913","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",NA,2406.5
"Eupogonesthes xenicus","Parin &amp; Borodulina, 1993","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.1135000038,400
"Eustomias australensis","Gibbs, Clarke &amp; Gomon, 1983","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.08699999809,250
"Eustomias bertelseni","Gibbs, Clarke &amp; Gomon, 1983","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.09300000191,750
"Eustomias bituberoides","Gibbs, Clarke &amp; Gomon, 1983","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.1410000038,525
"Eustomias bulbiramis","Clarke, 2001","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.1119999981,200
"Eustomias crucis","Gibbs &amp; Craddock, 1973","dd",NA,NA,NA,NA,NA,NA,NA,"pelagic-oceanic",NA,NA
"Eustomias curtatus","Gibbs, Clarke &amp; Gomon, 1983","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.1519999981,500
"Eustomias danae","Clarke, 2001","dd",NA,NA,NA,NA,NA,NA,NA,"pelagic-oceanic",NA,NA
"Eustomias deofamiliaris","Gibbs, Clarke &amp; Gomon, 1983","dd",NA,NA,NA,NA,NA,NA,NA,"pelagic-oceanic",0.1088000011,35
"Eustomias flagellifer","Clarke, 2001","dd",NA,NA,NA,NA,NA,NA,NA,"pelagic-oceanic",0.09,100
"Eustomias inconstans","Gibbs, Clarke &amp; Gomon, 1983","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.1639999962,550
"Eustomias interruptus","Clarke, 1999","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.1210000038,466
"Eustomias magnificus","Clarke, 2001","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",NA,900
"Eustomias melanostigmoides","Gibbs, Clarke &amp; Gomon, 1983","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.115,450
"Eustomias mesostenus","Gibbs, Clarke &amp; Gomon, 1983","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.095,821.5
"Eustomias multifilis","Parin &amp; Pokhil'skaya, 1978","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.1444999981,500
"Eustomias problematicus","Clarke, 2001","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",NA,400
"Eustomias teuthidopsis","Gibbs, Clarke &amp; Gomon, 1983","dd",NA,NA,NA,NA,NA,NA,NA,"pelagic-oceanic",0.1906999969,85.5
"Eustomias tomentosis","Clarke, 1998","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",NA,427.5
"Evynnis mononematos","Guan, Tang &amp; Wu, 2012","dd",NA,NA,NA,NA,NA,NA,NA,"pelagic-neritic",NA,NA
"Gunterichthys bussingi","Møller, Schwarzhans &amp; Nielsen, 2004","dd",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",NA,NA
"Gunterichthys coheni","Møller, Schwarzhans &amp; Nielsen, 2004","dd",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",NA,2.5
"Holcomycteronus aequatoris","(Smith &amp; Radcliffe, 1913)","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.22,2770
"Holcomycteronus brucei","(Dollo, 1906)","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.3070000076,3640
"Holcomycteronus pterotus","(Alcock, 1890)","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",NA,2512.5
"Lamprogrammus fragilis","Alcock, 1892","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.57,992.5
"Leptobrotula breviventralis","Nielsen, 1986","dd",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.32,500
"Leptostomias macronema","Gilbert, 1905","dd",NA,NA,NA,NA,NA,NA,NA,"pelagic-oceanic",NA,462.5
"Leptostomias multifilis","Imai, 1941","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.19,NA
"Leucicorus lusciosus","Garman, 1899","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",NA,3072.5
"Lutjanus xanthopinnis","Iwatsuki, Tanaka &amp; Allen, 2015","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",NA,NA
"Majungaichthys simplex","Schwarzhans &amp; Møller, 2007","dd",0.7,1.6,NA,NA,NA,NA,NA,"demersal",0.037,NA
"Mascarenichthys microphthalmus","Schwarzhans &amp; Møller, 2007","dd",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.04,NA
"Maurolicus kornilovorum","Parin &amp; Kobyliansky, 1993","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.03200000048,50
"Maurolicus rudjakovi","Parin &amp; Kobyliansky, 1993","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.05900000095,120
"Melamphaes contradictorius","Kotlyar, 2015","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.03099999905,NA
"Melamphaes nikolayi","Kotlyar, 2012","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.06150000095,NA
"Melamphaes pachystomus","Kotlyar, 2011","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.07150000095,950
"Melamphaes papavereus","Kotlyar, 2016","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.035,500
"Melamphaes xestoachidus","Kotlyar, 2011","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.08699999809,2925
"Melanostomias stewarti","Fowler, 1934","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",NA,NA
"Melanostomias vierecki","Fowler, 1934","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",NA,NA
"Monognathus ahlstromi","Raju, 1974","dd",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.04900000095,1000
"Monognathus berteli","Nielsen &amp; Hartel, 1996","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.05800000191,1224
"Monognathus bruuni","Bertin, 1936","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.08,1500
"Monognathus isaacsi","Raju, 1974","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.05599999905,475
"Monognathus jesse","Raju, 1974","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.06300000191,1050
"Monognathus ozawai","Bertelsen &amp; Nielsen, 1987","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.065,NA
"Monognathus rajui","Bertelsen &amp; Nielsen, 1987","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.1119999981,NA
"Monognathus smithi","Bertelsen &amp; Nielsen, 1987","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.07199999809,5000.5
"Monomitopus longiceps","Smith &amp; Radcliffe, 1913","dd",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",NA,555
"Monomitopus microlepis","Smith &amp; Radcliffe, 1913","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",NA,NA
"Nemipterus flavomandibularis","Russell &amp; Tweddle, 2013","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.2054000092,166.5
"Neobythites alcocki","Nielsen, 2002","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",NA,373.5
"Neobythites andamanensis","Nielsen, 2002","dd",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",NA,NA
"Eustomias suluensis","Gibbs, Clarke &amp; Gomon, 1983","dd",NA,NA,NA,NA,NA,NA,NA,"pelagic-oceanic",0.1090999985,150
"Carcharhinus humani","White &amp; Weigmann, 2014","dd",NA,NA,NA,NA,NA,NA,NA,"pelagic-neritic",0.8440000153,39.5
"Chaunax hollemani","Ho &amp; Ma, 2016","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.195,354
"Coelophrys bradburyae","Endo &amp; Shinohara, 1999","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.05800000191,576
"Dibranchus accinctus","Bradbury, 1999","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.175,1555
"Dibranchus cracens","Bradbury, McCosker &amp; Long, 1999","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.1282999992,316
"Dibranchus discors","Bradbury, McCosker &amp; Long, 1999","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.1078999996,637.5
"Halicmetus niger","Ho, Endo &amp; Sakamaki, 2008","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.08720000267,640
"Chaunax africanus","Ho &amp; Last, 2013","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.2270000076,181
"Chaunax stigmaeus","Fowler, 1946","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.305,410
"Gigantactis balushkini","Kharin, 1984","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",NA,NA
"Gigantactis longicauda","Bertelsen &amp; Pietsch, 2002","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",NA,850
"Gigantactis microphthalmus","(Regan &amp; Trewavas, 1932)","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",NA,NA
"Rhynchactis microthrix","Bertelsen &amp; Pietsch, 1998","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",NA,1125
"Himantolophus azurlucens","Beebe &amp; Crane, 1947","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",NA,1000
"Himantolophus borealis","Kharin, 1984","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",NA,NA
"Himantolophus danae","Regan &amp; Trewavas 1932","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",NA,NA
"Himantolophus litoceras","Stewart &amp; Pietsch, 2010","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",NA,NA
"Himantolophus pseudalbinares","Bertelsen &amp; Krefft, 1988","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",NA,NA
"Acentrophryne dolichonema","Pietsch &amp; Shimazaki, 2005","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",NA,653
"Acentrophryne longidens","Regan, 1926","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",NA,NA
"Linophryne andersoni","Gon, 1992","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",NA,NA
"Linophryne argyresca","Regan &amp; Trewavas, 1932","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.01200000048,NA
"Linophryne bipennata","Bertelsen, 1982","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",NA,1000
"Linophryne escaramosa","Bertelsen, 1982","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",NA,675
"Linophryne quinqueramosa","Beebe &amp; Crane, 1947","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",NA,NA
"Linophryne trewavasae","Bertelsen, 1978","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.01070000052,NA
"Melanocetus eustalus","Pietsch &amp; Van Duzer, 1980","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",NA,837.5
"Melanocetus rossi","Balushkin &amp; Fedorov, 1981","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",NA,NA
"Heterodontus ramalheira","(Smith, 1949)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.64,172.5
"Dipturus johannisdavisi","(Alcock, 1899)","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.54,440
"Torpedo sinuspersici","Olfers, 1831","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",1.3,100.5
"Chaenophryne quasiramifera","Pietsch, 2007","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.09800000191,565
"Microlophichthys andracanthus","Bertelsen, 1951","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.01700000048,NA
"Oneirodes alius","Seigel &amp; Pietsch, 1978","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.03799999952,887.5
"Oneirodes basili","Pietsch, 1974","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",NA,1050
"Oneirodes cordifer","Prokofiev, 2014","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.025,NA
"Oneirodes cristatus","(Regan &amp; Trewavas, 1932)","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",NA,NA
"Oneirodes dicromischus","Pietsch, 1974","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.035,935
"Oneirodes haplonema","Stewart &amp; Pietsch, 1998","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",NA,1046
"Oneirodes micronema","Grobecker, 1978","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.08899999619,825
"Oneirodes mirus","(Regan &amp; Trewavas, 1932)","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.03200000048,NA
"Oneirodes parapietschi","Prokofiev, 2014","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.03599999905,500
"Oneirodes pterurus","Pietsch &amp; Seigel, 1980","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",NA,1200
"Oneirodes sanjeevani","Rajeeshkumar, 2017","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.06900000095,490
"Oneirodes schistonema","Pietsch &amp; Seigel, 1980","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",NA,1000
"Oneirodes sipharum","Prokofiev, 2014","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.01399999976,500
"Spiniphryne duhameli","Pietsch &amp; Baldwin, 2006","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",NA,1250
"Lasiognathus waltoni","Nolan &amp; Rosenblatt, 1975","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",NA,675
"Thaumatichthys axeli","(Bruun, 1953)","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.03599999905,NA
"Thaumatichthys pagidostomus","Smith &amp; Radcliffe, 1912","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.085,NA
"Halieutaea brevicauda","Ogilby, 1910","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.21,170
"Halieutopsis andriashevi","Bradbury, 1988","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",NA,3900
"Malthopsis bradburyae","Ho, 2013","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.07239999771,NA
"Malthopsis retifera","Ho, Prokofiev &amp; Shao, 2009","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.0603000021,397.5
"Leptochilichthys microlepis","Machida &amp; Shiogaki, 1988","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.3029999924,NA
"Mentodus crassus","Parr, 1960","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.245,1175
"Opistognathus schrieri","Smith-Vaniz, 2017","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.04800000191,NA
"Saccopharynx berteli","Tighe &amp; Nielsen, 2000","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.895,550
"Poromitra crassa","Parin &amp; Ebeling, 1980","dd",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.11,750
"Poromitra decipiens","Kotlyar, 2008","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.115,NA
"Poromitra glochidiata","Kotlyar, 2008","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.1089999962,1195
"Poromitra rugosa","(Chapman, 1939)","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.09399999619,797
"Polymetme andriashevi","Parin &amp; Borodulina, 1990","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.2089999962,572.5
"Polyipnus asper","Harold, 1994","dd",NA,NA,NA,NA,NA,NA,NA,"pelagic-oceanic",0.06199999809,192
"Polyipnus bruuni","Harold, 1994","dd",NA,NA,NA,NA,NA,NA,NA,"pelagic-oceanic",0.01950000048,120
"Polyipnus danae","Harold, 1990","dd",NA,NA,NA,NA,NA,NA,NA,"pelagic-oceanic",0.0275,350
"Polyipnus inermis","Borodulina, 1981","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.06349999905,287.5
"Polyipnus laruei","Vourey, Dupoux &amp; Harold, 2017","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.04559999943,NA
"Polyipnus latirastrus","Last &amp; Harold, 1994","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.0875,792
"Polyipnus oluolus","Baird, 1971","dd",NA,NA,NA,NA,NA,NA,NA,"pelagic-oceanic",0.02690000057,NA
"Polyipnus paxtoni","Harold, 1989","dd",NA,NA,NA,NA,NA,NA,NA,"pelagic-oceanic",0.04929999828,150
"Polyipnus spinosus","Günther, 1887","dd",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.085,250
"Polyipnus surugaensis","Aizawa, 1990","dd",NA,NA,NA,NA,NA,NA,NA,"pelagic-oceanic",0.03710000038,NA
"Photonectes barnetti","Klepadlo, 2011","dd",NA,NA,NA,NA,NA,NA,NA,"pelagic-oceanic",0.04159999847,NA
"Photonectes corynodes","Klepadlo, 2011","dd",NA,NA,NA,NA,NA,NA,NA,"pelagic-oceanic",0.02410000086,NA
"Photonectes litvinovi","Prokofiev, 2014","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.15,NA
"Photonectes munificus","Gibbs, 1968","dd",NA,NA,NA,NA,NA,NA,NA,"pelagic-oceanic",NA,220
"Photonectes paxtoni","Flynn &amp; Klepadlo, 2012","dd",NA,NA,NA,NA,NA,NA,NA,"pelagic-oceanic",0.02339999914,NA
"Bythaelurus vivaldii","Weigmann &amp; Kaschner, 2017","dd",NA,NA,NA,NA,NA,NA,NA,"pelagic-oceanic",NA,NA
"Bythaelurus stewarti","Weigmann, Kaschner &amp; Thiel, 2018","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.425,400
"Brachyistius frenatus","Gill, 1862","dd",1.1,3.6,21.883,42,NA,3.5,NA,"demersal",0.22,NA
"Siganus unimaculatus","(Evermann &amp; Seale, 1907)","dd",1,3.4,3.6276,3,NA,2.7,NA,"reef-associated",0.2,NA
"Serranus drewesi","Iwamoto, 2018","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.065,NA
"Starksia splendens","Victor, 2018","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.01860000014,NA
"Grammonus minutus","Nielsen &amp; Prokofiev, 2010","dd",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.055,94.5
"Penopus japonicus","Nielsen &amp; Ohashi, 2011","dd",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.2289999962,NA
"Majungaichthys agalegae","Schwarzhans &amp; Møller, 2011","dd",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.04,4.5
"Mascarenichthys remotus","Schwarzhans &amp; Møller, 2011","dd",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.03,NA
"Microbrotula andersoni","Schwarzhans &amp; Nielsen, 2011","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,42.5
"Microbrotula hamata","Schwarzhans &amp; Nielsen, 2011","dd",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",NA,9
"Nielsenichthys pullus","Schwarzhans &amp; Møller, 2011","dd",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.03799999952,12.5
"Timorichthys disjunctus","Nielsen &amp; Schwarzhans, 2011","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.03900000095,NA
"Neobythites machidai","Ohashi, Nielsen &amp; Yabe, 2012","dd",NA,NA,NA,NA,NA,NA,NA,"pelagic-neritic",0.09350000381,157.5
"Microbrotula geraldalleni","Schwarzhans &amp; Nielsen, 2012","dd",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.04099999905,NA
"Bassogigas walkeri","Nielsen &amp; Møller, 2011","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.505,2461.5
"Paradiancistrus acutirostris","Schwarzhans, Møller &amp; Nielsen, 2005","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.03599999905,12
"Paradiancistrus christmasensis","Schwarzhans &amp; Møller, 2011","dd",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",NA,18.5
"Paradiancistrus lombokensis","Schwarzhans &amp; Møller, 2007","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.035,1
"Ungusurculus collettei","Schwarzhans &amp; Møller, 2007","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.03400000095,7.5
"Ungusurculus riauensis","Schwarzhans &amp; Møller, 2007","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.04699999809,2.5
"Neobythites bimarginatus","Fourmanoir &amp; Rivaton, 1979","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.11,412.5
"Neobythites crosnieri","Nielsen, 1995","dd",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",NA,237.5
"Neobythites fijiensis","Nielsen, 2002","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",NA,370
"Neobythites javaensis","Nielsen, 2002","dd",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",NA,NA
"Neobythites longispinis","Nielsen, 2002","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",NA,NA
"Neobythites macrocelli","Nielsen, 2002","dd",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",NA,NA
"Neobythites malhaensis","Nielsen, 1995","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",NA,242.5
"Neobythites marquesaensis","Nielsen, 2002","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",NA,435
"Neobythites meteori","Nielsen, 1995","dd",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",NA,256
"Neobythites multistriatus","Nielsen &amp; Quéro, 1991","dd",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",NA,440
"Neobythites musorstomi","Nielsen, 2002","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",NA,NA
"Neobythites natalensis","Nielsen, 1995","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",NA,450
"Neobythites sereti","Nielsen, 2002","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",NA,NA
"Neobythites sinensis","Nielsen, 2002","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",NA,NA
"Ophidion asiro","(Jordan &amp; Fowler, 1902)","dd",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.2,NA
"Porogadus atripectus","Garman, 1899","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",NA,2585
"Porogadus gracilis","(Günther, 1878)","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",NA,NA
"Porogadus melanocephalus","(Alcock, 1891)","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",NA,3105
"Porogadus trichiurus","(Alcock, 1890)","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.64,1822.5
"Pycnocraspedum armatum","Gosline, 1954","dd",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",NA,773
"Pycnocraspedum fulvum","Machida, 1984","dd",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.34,NA
"Pycnocraspedum microlepis","(Matsubara, 1943)","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.34,400
"Sirembo wami","Nielsen, Schwarzhans &amp; Uiblein, 2014","dd",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.2520000076,157
