"genus_species","iucn_authority","iucn_category","lat_range","long_range","trophic_level","mature_age","longevity","diet","mass_g","length_m","depth_num","depth_zone"
"Myctophum affine","(L<fc>tken, 1892)","1",NA,NA,NA,NA,NA,NA,NA,0.07900000095,300,"bathypelagic"
"Myctophum nitidulum","Garman, 1899","1",99.9844,349,3.4,2.1,6.6,NA,NA,0.083,NA,NA
"Notoscopelus caudispinosus","(Johnson, 1863)","1",82.1,317,NA,2.7,9,NA,NA,0.14,NA,NA
"Notoscopelus resplendens","(Richardson, 1845)","1",NA,NA,NA,0.5,2,"planktivorous",NA,0.165,NA,"bathypelagic"
"Scopelopsis multipunctatus","Brauer, 1906","1",NA,NA,NA,NA,NA,NA,NA,0.08100000381,1001.5,"bathypelagic"
"Symbolophorus barnardi","(T<e5>ning, 1932)","1",44.9089,215,3.1,2.4,7.5,NA,NA,0.116,NA,NA
"Symbolophorus boops","(Richardson, 1845)","1",NA,NA,NA,NA,NA,NA,NA,0.16,250,"bathypelagic"
"Taaningichthys minimus","(T<e5>ning, 1928)","1",NA,NA,NA,0.5,5,"planktivorous",NA,0.065,NA,"bathypelagic"
"Taaningichthys paurolychnus","Davy, 1972","1",NA,NA,NA,NA,NA,NA,NA,0.095,1450,"bathypelagic"
"Neoscopelus macrolepidotus","Johnson, 1863","1",81.5397,329,4.2,2.5,9.1,"piscivorous",NA,0.22,NA,"bathypelagic"
"Neoscopelus macrolepidotus","Johnson, 1863","1",81.5397,329,4.2,2.5,9.1,"piscivorous",NA,0.22,NA,"bathypelagic"
"Scopelengys tristis","Alcock, 1890","1",NA,NA,NA,NA,NA,"planktivorous",NA,0.2,NA,"bathypelagic"
"Scopelengys tristis","Alcock, 1890","1",NA,NA,NA,NA,NA,"planktivorous",NA,0.2,NA,"bathypelagic"
"Glossanodon polli","Cohen, 1958","1",NA,NA,NA,NA,NA,NA,NA,0.1405000019,390,"demersal"
"Bathylagichthys problematicus","(Lloris &amp; Rucabado, 1985)","1",NA,NA,NA,NA,NA,NA,NA,0.2660000038,NA,"pelagic-oceanic"
"Leptochilichthys agassizii","Garman, 1899","1",NA,NA,NA,NA,NA,NA,NA,0.3079999924,2550,"bathypelagic"
"Nansenia atlantica","Blache &amp; Rossignol, 1962","1",NA,NA,NA,NA,NA,NA,NA,0.1675,290,"pelagic-oceanic"
"Nansenia tenera","Kawaguchi &amp; Butler, 1984","1",NA,NA,NA,NA,NA,NA,NA,0.1119999981,NA,"pelagic-oceanic"
"Paracaristius maderensis","(Maul, 1949)","1",NA,NA,NA,NA,NA,NA,NA,0.3,1050,"bathypelagic"
"Epigonus pandionis","(Goode &amp; Bean, 1881)","1",NA,NA,NA,36.2,42.3,"generalist",172.3000031,0.194,NA,"bathydemersal"
"Epigonus pandionis","(Goode &amp; Bean, 1881)","1",NA,NA,NA,36.2,42.3,"generalist",172.3000031,0.194,NA,"bathydemersal"
"Epigonus pandionis","(Goode &amp; Bean, 1881)","1",NA,NA,NA,36.2,42.3,"generalist",172.3000031,0.194,NA,"bathydemersal"
"Sphyraena afra","Peters, 1844","1",NA,NA,NA,NA,NA,NA,50000,2.05,37.5,"pelagic-neritic"
"Arnoglossus capensis","Boulenger, 1898","1",NA,NA,NA,NA,NA,NA,NA,0.2,100.5,"demersal"
"Chascanopsetta lugubris","Alcock, 1894","1",77.205,264,3.5,1.6,7,"benthivorous",NA,0.2551,NA,"bathydemersal"
"Monolene microstoma","Cadenat, 1937","1",NA,NA,NA,NA,NA,NA,NA,0.2010000038,242.5,"bathypelagic"
"Symphurus ligulatus","(Cocco, 1844)","1",NA,NA,3.5,NA,NA,"carnivorous",NA,0.08,410,NA
"Chelidonichthys cuculus","(Linnaeus, 1758)","1",NA,NA,3.8,3.5,17,"generalist",NA,0.34,115,"demersal"
"Chelidonichthys cuculus","(Linnaeus, 1758)","1",NA,NA,3.8,3.5,17,"generalist",NA,0.34,115,"demersal"
"Chelidonichthys cuculus","(Linnaeus, 1758)","1",NA,NA,3.8,3.5,17,"generalist",NA,0.34,115,"demersal"
"Chelidonichthys cuculus","(Linnaeus, 1758)","1",NA,NA,3.8,3.5,17,"generalist",NA,0.34,115,"demersal"
"Cynoglossus zanzibarensis","Norman, 1939","1",58.5833,35,3.6,3,11.4,NA,NA,0.32,NA,NA
"Symphurus insularis","Munroe, Brito &amp; Hern<e1>ndez, 2000","1",NA,NA,NA,NA,NA,NA,NA,0.07980000019,13,"demersal"
"Symphurus normani","Chabanaud, 1950","1",6.9409,2,NA,5.4,23.9,NA,NA,0.7,NA,NA
"Symphurus vanmelleae","Chabanaud, 1952","1",NA,NA,NA,NA,NA,NA,NA,0.1184000015,602.5,"bathydemersal"
"Syacium micrurum","Ranzani, 1842","1",NA,NA,NA,2.8,6.9,"benthivorous",500,0.4,NA,"benthopelagic"
"Syacium micrurum","Ranzani, 1842","1",NA,NA,NA,2.8,7.2,"benthivorous",500,0.4,NA,"benthopelagic"
"Bathysolea polli","(Chabanaud, 1950)","1",NA,NA,NA,NA,NA,NA,NA,0.25,400,"bathydemersal"
"Microchirus wittei","Chabanaud, 1950","1",25.35,30,NA,1.9,7.1,NA,NA,0.25,NA,NA
"Polymixia nobilis","Lowe, 1838","1",NA,NA,NA,NA,14,"generalist",NA,0.465,NA,"bathydemersal"
"Polymixia nobilis","Lowe, 1838","1",NA,NA,NA,NA,14,"generalist",NA,0.465,NA,"bathydemersal"
"Polymixia nobilis","Lowe, 1838","1",NA,NA,NA,NA,14,"generalist",NA,0.465,NA,"bathydemersal"
"Congiopodus spinifer","(Smith, 1839)","1",NA,NA,NA,NA,NA,NA,NA,0.45,275,"demersal"
"Careproctus albescens","Barnard, 1927","1",NA,NA,NA,NA,NA,NA,NA,0.23,1030,"bathydemersal"
"Solitas gruveli","(Pellegrin, 1905)","1",NA,NA,NA,NA,NA,NA,NA,0.2,110,"demersal"
"Ebinania costaecanariae","(Cervig<f3>n, 1961)","1",NA,NA,NA,NA,NA,NA,NA,0.3,500,"bathydemersal"
"Psychrolutes inermis","(Vaillant, 1888)","1",NA,NA,NA,NA,NA,NA,NA,0.3579999924,1050,"bathydemersal"
"Pontinus accraensis","Norman, 1935","1",NA,NA,NA,NA,NA,NA,NA,0.4,252,"demersal"
"Pontinus leda","Eschmeyer, 1969","1",NA,NA,NA,NA,NA,NA,NA,0.27,245.5,"demersal"
"Scorpaena angolensis","Norman, 1935","1",NA,NA,NA,NA,NA,NA,NA,0.25,165.5,"demersal"
"Scorpaena laevis","Troschel, 1866","1",23.7,38,NA,7.1,28.4,NA,NA,0.35,NA,NA
"Scorpaena normani","Cadenat, 1943","1",NA,NA,NA,NA,NA,NA,NA,0.2,175,"demersal"
"Scorpaena stephanica","Cadenat, 1943","1",NA,NA,4,NA,NA,"carnivorous",NA,0.3,340,NA
"Trachyscorpia eschmeyeri","Whitley, 1970","1",NA,NA,NA,NA,NA,NA,NA,0.35,737.5,"bathydemersal"
"Ectreposebastes imus","Garman, 1899","1",NA,NA,NA,NA,NA,NA,NA,0.18,1075,"bathypelagic"
"Setarches guentheri","Johnson, 1862","1",76.48,349,3.4,0.1,0,"benthivorous",670.9000244,0.25,NA,"benthopelagic"
"Chelidonichthys capensis","(Cuvier, 1829)","1",59.8833,35,4.2,6.4,28.7,NA,NA,0.75,NA,NA
"Chelidonichthys gabonensis","(Poll &amp; Roux, 1955)","1",NA,NA,NA,NA,NA,NA,NA,0.32,107.5,"demersal"
"Chelidonichthys queketti","(Regan, 1904)","1",NA,NA,NA,NA,NA,NA,NA,0.35,75,"demersal"
"Lepidotrigla cadmani","Regan, 1915","1",NA,NA,NA,NA,NA,NA,NA,0.3,215,"demersal"
"Lepidotrigla carolae","Richards, 1968","1",NA,NA,NA,NA,NA,NA,NA,0.18,205,"demersal"
"Trigloporus lastoviza","(Bonnaterre, 1788)","1",97.7667,50,3.5,2,7.6,"carnivorous",NA,0.275,60,NA
"Ogilbia tyleri","M<f8>ller, Schwarzhans &amp; Nielsen, 2005","1",NA,NA,NA,NA,NA,NA,NA,0.05,2.5,"reef-associated"
"Opisthonema oglinum","(Lesueur, 1818)","1",79.7919,76,4.5,2,8,"generalist",375,0.3,NA,"reef-associated"
"Opisthonema oglinum","(Lesueur, 1818)","1",79.7919,76,4.5,2,8,"generalist",375,0.3,NA,"reef-associated"
"Opisthonema oglinum","(Lesueur, 1818)","1",79.7919,76,4.5,2,8,"generalist",375,0.3,NA,"reef-associated"
"Opisthonema oglinum","(Lesueur, 1818)","1",79.7919,76,4.5,2,8,"generalist",375,0.3,NA,"reef-associated"
"Laemonema barbatulum","Goode &amp; Bean, 1883","1",55.4833,82,NA,10.5,27.4,"generalist",NA,0.33,NA,"benthopelagic"
"Laemonema barbatulum","Goode &amp; Bean, 1883","1",55.4833,82,NA,10.5,27.4,"generalist",NA,0.33,NA,"benthopelagic"
"Laemonema barbatulum","Goode &amp; Bean, 1883","1",55.4833,82,NA,10.5,27.4,"generalist",NA,0.33,NA,"benthopelagic"
"Laemonema barbatulum","Goode &amp; Bean, 1883","1",55.4833,82,NA,10.5,27.4,"generalist",NA,0.33,NA,"benthopelagic"
"Sargocentron poco","(Woods, 1965)","1",NA,NA,NA,NA,NA,NA,NA,0.11,NA,"reef-associated"
"Bullisichthys caribbaeus","Rivas, 1971","1",NA,NA,NA,NA,NA,NA,NA,0.06,NA,"demersal"
"Ophidion josephi","Girard, 1858","1",NA,NA,NA,0.7,25.5,"benthivorous",NA,0.25,NA,"demersal"
"Caranx ruber","(Bloch, 1793)","1",NA,NA,NA,3,11,"generalist",8200,0.31,NA,"reef-associated"
"Caranx ruber","(Bloch, 1793)","1",NA,NA,NA,3,11,"generalist",8200,0.31,NA,"pelagic"
"Anchoa cayorum","(Fowler, 1906)","1",NA,NA,NA,NA,NA,NA,NA,0.11,NA,"pelagic-oceanic"
"Bembrops anatirostris","Ginsburg, 1955","1",NA,NA,NA,NA,12.3,"benthivorous",NA,0.35,NA,"bathydemersal"
"Caranx bartholomaei","Cuvier, 1833","1",NA,NA,NA,NA,NA,NA,14000,1,25,"reef-associated"
"Calamopteryx robinsorum","Cohen, 1973","1",NA,NA,NA,NA,NA,NA,NA,NA,137,"demersal"
"Diplogrammus pauciradiatus","(Gill, 1865)","1",NA,NA,NA,3.3,4,"benthivorous",NA,0.05,NA,"reef-associated"
"Thalassophryne megalops","Bean &amp; Weed, 1910","1",NA,NA,NA,NA,NA,NA,NA,NA,130,"demersal"
"Cubiceps pauciradiatus","G<fc>nther, 1872","1",80.9833,312,3.5,0.7,4,"planktivorous",NA,0.14,NA,"bathypelagic"
"Cubiceps pauciradiatus","G<fc>nther, 1872","1",80.9833,312,3.5,0.7,4,"planktivorous",NA,0.14,NA,"bathypelagic"
"Cubiceps pauciradiatus","G<fc>nther, 1872","1",80.9833,312,3.5,0.7,4,"planktivorous",NA,0.14,NA,"bathypelagic"
"Cubiceps pauciradiatus","G<fc>nther, 1872","1",80.9833,312,3.5,0.7,4,"planktivorous",NA,0.14,NA,"bathypelagic"
"Thalassophryne maculosa","G<fc>nther, 1861","1",NA,NA,NA,NA,NA,NA,NA,0.2,100.5,"reef-associated"
"Caulolatilus chrysops","(Valenciennes, 1833)","1",NA,NA,NA,2,15,"benthivorous",NA,0.6,NA,"demersal"
"Caulolatilus chrysops","(Valenciennes, 1833)","1",NA,NA,NA,3.4,15,"benthivorous",NA,0.6,NA,"demersal"
"Synodus foetens","(Linnaeus, 1766)","1",NA,NA,NA,2,7.7,"piscivorous",900,0.483,NA,"reef-associated"
"Synodus foetens","(Linnaeus, 1766)","1",NA,NA,NA,2,7.7,"piscivorous",900,0.483,NA,"reef-associated"
"Synodus foetens","(Linnaeus, 1766)","1",NA,NA,NA,2,7.7,"piscivorous",900,0.483,NA,"reef-associated"
"Synodus foetens","(Linnaeus, 1766)","1",NA,NA,NA,2,7.7,"piscivorous",900,0.483,NA,"reef-associated"
"Neoniphon marianus","(Cuvier, 1829)","1",21.2504,39,3.6,0.9,2.9,"benthivorous",NA,0.18,NA,"reef-associated"
"Merluccius albidus","(Mitchill, 1818)","1",83.98,93,3.4,3.6,16.3,"generalist",NA,0.68,NA,"bathydemersal"
"Merluccius albidus","(Mitchill, 1818)","1",83.98,93,3.4,3.6,16.3,"generalist",NA,0.68,NA,"bathydemersal"
"Merluccius albidus","(Mitchill, 1818)","1",83.98,93,3.4,3.6,16.3,"generalist",NA,0.68,NA,"bathydemersal"
"Merluccius albidus","(Mitchill, 1818)","1",83.98,93,3.4,3.6,16.3,"generalist",NA,0.68,NA,"bathydemersal"
"Merluccius albidus","(Mitchill, 1818)","1",83.98,93,3.4,3.6,16.3,"generalist",NA,0.68,NA,"bathydemersal"
"Merluccius albidus","(Mitchill, 1818)","1",83.98,93,3.4,3.6,16.3,"generalist",NA,0.68,NA,"bathydemersal"
"Ogilbia sabaji","M<f8>ller, Schwarzhans &amp; Nielsen, 2005","1",NA,NA,NA,NA,NA,NA,NA,0.05,15,"reef-associated"
"Chaetodipterus faber","(Broussonet, 1782)","1",70.05,86,4.5,1,8,"generalist",9000,0.504,NA,"reef-associated"
"Chaetodipterus faber","(Broussonet, 1782)","1",70.05,86,4.5,1,8,"generalist",9000,0.504,NA,"reef-associated"
"Chaetodipterus faber","(Broussonet, 1782)","1",70.05,86,4.5,1,8,"generalist",9000,0.504,NA,"reef-associated"
"Chaetodipterus faber","(Broussonet, 1782)","1",70.05,86,4.5,1,8,"generalist",9000,0.504,NA,"reef-associated"
"Opsanus tau","(Linnaeus, 1766)","1",NA,NA,NA,3.5,12,"piscivorous",2230,0.38,NA,"reef-associated"
"Opsanus tau","(Linnaeus, 1766)","1",NA,NA,NA,3.5,12,"piscivorous",2230,0.38,NA,"reef-associated"
"Opsanus tau","(Linnaeus, 1766)","1",NA,NA,NA,3.5,12,"piscivorous",2230,0.38,NA,"reef-associated"
"Opsanus tau","(Linnaeus, 1766)","1",NA,NA,NA,3.5,12,"piscivorous",2230,0.38,NA,"reef-associated"
"Hypoatherina harringtonensis","(Goode, 1877)","1",NA,NA,NA,NA,NA,NA,NA,0.1,NA,"reef-associated"
"Centropristis ocyurus","(Jordan &amp; Evermann, 1887)","1",21.5833,31,NA,1,10,"generalist",NA,0.3,NA,"demersal"
"Centropristis ocyurus","(Jordan &amp; Evermann, 1887)","1",21.5833,31,NA,4.9,10,"generalist",NA,0.3,NA,"demersal"
"Centropristis ocyurus","(Jordan &amp; Evermann, 1887)","1",21.5833,31,NA,4.9,10,"generalist",NA,0.3,NA,"demersal"
"Centropristis ocyurus","(Jordan &amp; Evermann, 1887)","1",21.5833,31,NA,1.1,10,"generalist",NA,0.3,NA,"demersal"
"Ophidion selenops","Robins &amp; B<f6>hlke, 1959","1",NA,NA,NA,0.7,25.5,"benthivorous",NA,0.1,NA,"reef-associated"
"Ophidion selenops","Robins &amp; B<f6>hlke, 1959","1",NA,NA,NA,0.7,25.5,"benthivorous",NA,0.1,NA,"reef-associated"
"Bothus ocellatus","(Agassiz, 1831)","1",70.8667,89,3.8,1.7,7,"generalist",NA,0.18,NA,"reef-associated"
"Bothus ocellatus","(Agassiz, 1831)","1",70.8667,89,3.8,1.7,7,"generalist",NA,0.18,NA,"reef-associated"
"Atherinella milleri","(Bussing, 1979)","1",NA,NA,NA,NA,NA,NA,NA,0.055,NA,"pelagic-neritic"
"Gephyroberyx darwinii","(Johnson, 1866)","1",74.1617,265,3.9,15.8,43,"generalist",NA,0.6,285,"benthopelagic"
"Aulostomus maculatus","Valenciennes, 1841","1",NA,NA,NA,NA,NA,"piscivorous",NA,1,NA,"reef-associated"
"Aulostomus maculatus","Valenciennes, 1841","1",NA,NA,NA,NA,NA,"piscivorous",NA,1,NA,"reef-associated"
"Holocentrus adscensionis","(Osbeck, 1765)","1",63.6,110,3.5,2.2,9,"benthivorous",NA,0.28,NA,"reef-associated"
"Holocentrus adscensionis","(Osbeck, 1765)","1",63.6,110,3.5,2.2,9,"benthivorous",NA,0.28,NA,"reef-associated"
"Otophidium dormitator","B<f6>hlke &amp; Robins, 1959","1",NA,NA,NA,0.6,25.5,"benthivorous",NA,0.075,NA,"reef-associated"
"Plectrypops retrospinis","(Guichenot, 1853)","1",NA,NA,NA,NA,NA,"benthivorous",NA,0.15,NA,"reef-associated"
"Citharichthys minutus","Cervig<f3>n, 1982","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"demersal"
"Anchoa spinifer","(Valenciennes, 1848)","1",NA,NA,NA,NA,NA,NA,66.30000305,0.24,28,"pelagic-neritic"
"Atherinella blackburni","(Schultz, 1949)","1",NA,NA,NA,NA,NA,NA,NA,0.13,NA,"benthopelagic"
"Holocentrus rufus","(Walbaum, 1792)","1",35.4,96,3.5,0.9,3,"benthivorous",NA,0.23,NA,"reef-associated"
"Holocentrus rufus","(Walbaum, 1792)","1",35.4,96,3.5,0.9,3,"benthivorous",NA,0.23,NA,"reef-associated"
"Choranthias tenuis","(Nichols, 1920)","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"benthopelagic"
"Lepophidium pheromystax","Robins, 1960","1",NA,NA,NA,NA,NA,NA,NA,0.27,96,"demersal"
"Callionymus bairdi","Jordan, 1888","1",NA,NA,NA,3.3,4,"benthivorous",NA,0.114,NA,"reef-associated"
"Sargocentron coruscum","(Poey, 1860)","1",NA,NA,NA,NA,NA,NA,NA,0.15,15.5,"reef-associated"
"Ariomma bondi","Fowler, 1930","1",NA,NA,NA,NA,NA,"benthivorous",NA,0.3,NA,"demersal"
"Ariomma bondi","Fowler, 1930","1",NA,NA,NA,NA,NA,"benthivorous",NA,0.3,NA,"demersal"
"Ariomma bondi","Fowler, 1930","1",NA,NA,NA,NA,NA,"benthivorous",NA,0.3,NA,"demersal"
"Ariomma bondi","Fowler, 1930","1",NA,NA,NA,NA,NA,"benthivorous",NA,0.3,NA,"demersal"
"Bellator egretta","(Goode &amp; Bean, 1896)","1",NA,NA,NA,2.8,14.6,"generalist",NA,0.2,NA,"demersal"
"Bellator egretta","(Goode &amp; Bean, 1896)","1",NA,NA,NA,2.8,11.9,"generalist",NA,0.2,NA,"demersal"
"Bellator egretta","(Goode &amp; Bean, 1896)","1",NA,NA,NA,2.8,14.6,"generalist",NA,0.2,NA,"demersal"
"Bellator egretta","(Goode &amp; Bean, 1896)","1",NA,NA,NA,2.8,11.9,"generalist",NA,0.2,NA,"demersal"
"Caulolatilus guppyi","Beebe &amp; Tee-Van, 1937","1",NA,NA,NA,NA,NA,NA,NA,0.35,106,"demersal"
"Ophidion holbrookii","Putnam, 1874","1",NA,NA,NA,0.7,25.5,"benthivorous",NA,0.3,NA,"reef-associated"
"Ophidion holbrookii","Putnam, 1874","1",NA,NA,NA,0.7,25.5,"benthivorous",NA,0.3,NA,"reef-associated"
"Ophidion holbrookii","Putnam, 1874","1",NA,NA,NA,0.7,25.5,"benthivorous",NA,0.3,NA,"reef-associated"
"Ophidion holbrookii","Putnam, 1874","1",NA,NA,NA,0.7,25.5,"benthivorous",NA,0.3,NA,"reef-associated"
"Anchoa lamprotaenia","Hildebrand, 1943","1",NA,NA,NA,1.1,3,"planktivorous",NA,0.12,NA,"pelagic"
"Anchoa januaria","(Steindachner, 1879)","1",NA,NA,NA,NA,NA,NA,NA,0.1019999981,25,"pelagic-neritic"
"Otophidium chickcharney","B<f6>hlke &amp; Robins, 1959","1",NA,NA,NA,NA,NA,NA,NA,0.1019999981,7.5,"demersal"
"Sargocentron vexillarium","(Poey, 1860)","1",31.1,48,3.5,0.9,2.9,NA,NA,0.18,NA,NA
"Fowlerichthys ocellatus","(Bloch &amp; Schneider, 1801)","1",NA,NA,NA,NA,NA,"generalist",NA,0.38,NA,"reef-associated"
"Fowlerichthys ocellatus","(Bloch &amp; Schneider, 1801)","1",NA,NA,NA,NA,NA,"generalist",NA,0.38,NA,"reef-associated"
"Citharichthys spilopterus","G<fc>nther, 1862","1",75.8372,105,3.6,2.5,7.5,"generalist",99.40000153,0.2,NA,"demersal"
"Citharichthys spilopterus","G<fc>nther, 1862","1",75.8372,105,3.6,2.5,7.5,"generalist",99.40000153,0.2,NA,"demersal"
"Citharichthys spilopterus","G<fc>nther, 1862","1",75.8372,105,3.6,2.5,7.5,"generalist",99.40000153,0.2,NA,"demersal"
"Citharichthys spilopterus","G<fc>nther, 1862","1",75.8372,105,3.6,2.5,7.5,"generalist",99.40000153,0.2,NA,"demersal"
"Lepophidium profundorum","(Gill, 1863)","1",NA,NA,NA,0.6,25.5,"benthivorous",NA,0.27,NA,"demersal"
"Lepophidium profundorum","(Gill, 1863)","1",NA,NA,NA,0.6,25.5,"benthivorous",NA,0.27,NA,"demersal"
"Lepophidium profundorum","(Gill, 1863)","1",NA,NA,NA,0.6,25.5,"benthivorous",NA,0.27,NA,"demersal"
"Lepophidium profundorum","(Gill, 1863)","1",NA,NA,NA,0.6,25.5,"benthivorous",NA,0.27,NA,"demersal"
"Grammonus claudei","(Torre y Huerta, 1930)","1",NA,NA,NA,NA,NA,NA,NA,0.1,38,"reef-associated"
"Citharichthys macrops","Dresel, 1885","1",63.3933,69,NA,2.5,7.5,"generalist",NA,0.2,NA,"reef-associated"
"Citharichthys macrops","Dresel, 1885","1",63.3933,69,NA,2.5,7.5,"generalist",NA,0.2,NA,"reef-associated"
"Citharichthys macrops","Dresel, 1885","1",63.3933,69,NA,2.5,7.5,"generalist",NA,0.2,NA,"reef-associated"
"Citharichthys macrops","Dresel, 1885","1",63.3933,69,NA,2.5,7.5,"generalist",NA,0.2,NA,"reef-associated"
"Ophidion guianense","Lea &amp; Robins, 2003","1",NA,NA,NA,NA,NA,NA,NA,NA,39.5,"benthopelagic"
"Bothus robinsi","Topp &amp; Hoff, 1972","1",NA,NA,NA,1.7,7,"benthivorous",NA,0.25,NA,"demersal"
"Bothus robinsi","Topp &amp; Hoff, 1972","1",NA,NA,NA,1.7,7,"benthivorous",NA,0.25,NA,"demersal"
"Anchoa cubana","(Poey, 1868)","1",NA,NA,NA,1.1,3,"planktivorous",NA,0.1,NA,"pelagic"
"Porichthys pauciradiatus","Caldwell &amp; Caldwell, 1963","1",NA,NA,NA,NA,NA,NA,NA,NA,5.5,"demersal"
"Ogilbichthys microphthalmus","M<f8>ller, Schwarzhans &amp; Nielsen, 2004","1",NA,NA,NA,NA,NA,NA,NA,NA,1,"reef-associated"
"Lepophidium staurophor","Robins, 1959","1",NA,NA,NA,0.6,25.5,"benthivorous",NA,0.273,NA,"bathydemersal"
"Cyttopsis rosea","(Lowe, 1843)","1",94.3914,273,4,0.1,0,"generalist",NA,0.31,NA,"bathypelagic"
"Cyttopsis rosea","(Lowe, 1843)","1",94.3914,273,4,0.1,0,"generalist",NA,0.31,NA,"bathypelagic"
"Cyttopsis rosea","(Lowe, 1843)","1",94.3914,273,4,0.1,0,"generalist",NA,0.31,NA,"bathypelagic"
"Cyttopsis rosea","(Lowe, 1843)","1",94.3914,273,4,0.1,0,"generalist",NA,0.31,NA,"bathypelagic"
"Cyttopsis rosea","(Lowe, 1843)","1",94.3914,273,4,0.1,0,"generalist",NA,0.31,NA,"bathypelagic"
"Cyttopsis rosea","(Lowe, 1843)","1",94.3914,273,4,0.1,0,"generalist",NA,0.31,NA,"bathypelagic"
"Argentina striata","Goode &amp; Bean, 1896","1",79.2572,56,NA,6.4,25.5,"planktivorous",NA,0.24,NA,"benthopelagic"
"Argentina striata","Goode &amp; Bean, 1896","1",79.2572,56,NA,6.4,25.5,"planktivorous",NA,0.24,NA,"benthopelagic"
"Argentina striata","Goode &amp; Bean, 1896","1",79.2572,56,NA,6.4,25.5,"planktivorous",NA,0.24,NA,"benthopelagic"
"Argentina striata","Goode &amp; Bean, 1896","1",79.2572,56,NA,6.4,25.5,"planktivorous",NA,0.24,NA,"benthopelagic"
"Porichthys plectrodon","Jordan &amp; Gilbert, 1882","1",NA,NA,NA,3.5,7,"piscivorous",10.69999981,0.29,NA,"demersal"
"Porichthys plectrodon","Jordan &amp; Gilbert, 1882","1",NA,NA,NA,3.5,7,"piscivorous",10.69999981,0.29,NA,"demersal"
"Porichthys plectrodon","Jordan &amp; Gilbert, 1882","1",NA,NA,NA,3.5,7,"piscivorous",10.69999981,0.29,NA,"demersal"
"Porichthys plectrodon","Jordan &amp; Gilbert, 1882","1",NA,NA,NA,3.5,7,"piscivorous",10.69999981,0.29,NA,"demersal"
"Ophidion lagochila","(B<f6>hlke &amp; Robins, 1959)","1",NA,NA,NA,NA,NA,NA,NA,0.06949999809,NA,"reef-associated"
"Sanopus barbatus","(Meek &amp; Hildebrand, 1928)","1",NA,NA,NA,NA,NA,NA,NA,0.41,NA,"reef-associated"
"Fowlerichthys radiosus","(Garman, 1896)","1",NA,NA,NA,NA,NA,"generalist",NA,0.076,NA,"demersal"
"Fowlerichthys radiosus","(Garman, 1896)","1",NA,NA,NA,NA,NA,"generalist",NA,0.076,NA,"demersal"
"Fowlerichthys radiosus","(Garman, 1896)","1",NA,NA,NA,NA,NA,"generalist",NA,0.076,NA,"demersal"
"Fowlerichthys radiosus","(Garman, 1896)","1",NA,NA,NA,NA,NA,"generalist",NA,0.076,NA,"demersal"
"Anchoa filifera","(Fowler, 1915)","1",NA,NA,NA,NA,NA,NA,NA,0.12,NA,"pelagic-neritic"
"Lepophidium brevibarbe","(Cuvier, 1829)","1",NA,NA,NA,0.6,25.5,"benthivorous",NA,0.273,NA,"demersal"
"Ostichthys trachypoma","(G<fc>nther, 1859)","1",NA,NA,NA,NA,NA,"generalist",NA,0.2,NA,"demersal"
"Ostichthys trachypoma","(G<fc>nther, 1859)","1",NA,NA,NA,NA,NA,"generalist",NA,0.2,NA,"demersal"
"Bregmaceros houdei","Saksena &amp; Richards, 1986","1",NA,NA,NA,NA,NA,NA,NA,0.01639999986,NA,"pelagic-neritic"
"Menidia menidia","(Linnaeus, 1766)","1",23.25,61,3.2,1,2,"planktivorous",NA,0.14,NA,"pelagic"
"Menidia menidia","(Linnaeus, 1766)","1",23.25,61,3.2,1,2,"planktivorous",NA,0.14,NA,"pelagic"
"Menidia menidia","(Linnaeus, 1766)","1",23.25,61,3.2,1,2,"planktivorous",NA,0.14,NA,"pelagic"
"Menidia menidia","(Linnaeus, 1766)","1",23.25,61,3.2,1,2,"planktivorous",NA,0.13,NA,"pelagic"
"Foetorepus agassizii","(Goode &amp; Bean, 1888)","1",78.6,90,NA,3.3,4,"benthivorous",NA,0.25,NA,"bathydemersal"
"Foetorepus agassizii","(Goode &amp; Bean, 1888)","1",78.6,90,NA,3.3,4,"benthivorous",NA,0.25,NA,"bathydemersal"
"Foetorepus agassizii","(Goode &amp; Bean, 1888)","1",78.6,90,NA,3.3,4,"benthivorous",NA,0.25,NA,"bathydemersal"
"Foetorepus agassizii","(Goode &amp; Bean, 1888)","1",78.6,90,NA,3.3,4,"benthivorous",NA,0.25,NA,"bathydemersal"
"Ogilbichthys longimanus","M<f8>ller, Schwarzhans &amp; Nielsen, 2004","1",NA,NA,NA,NA,NA,NA,NA,NA,7.5,"reef-associated"
"Achirus achirus","(Linnaeus, 1758)","1",NA,NA,NA,NA,NA,NA,1000,0.37,10.5,"demersal"
"Bembrops gobioides","(Goode, 1880)","1",NA,NA,NA,NA,12.3,"benthivorous",NA,0.3,NA,"demersal"
"Bembrops gobioides","(Goode, 1880)","1",NA,NA,NA,NA,12.3,"benthivorous",NA,0.3,NA,"demersal"
"Anthias nicholsi","Firth, 1933","1",NA,NA,NA,4.9,20,"generalist",NA,0.25,NA,"benthopelagic"
"Anthias nicholsi","Firth, 1933","1",NA,NA,NA,1.1,20,"generalist",NA,0.25,NA,"benthopelagic"
"Anthias nicholsi","Firth, 1933","1",NA,NA,NA,1.1,20,"generalist",NA,0.25,NA,"benthopelagic"
