date,data_src,genus,species,length_m,mass_g,depth_num,depth_zone,commercial
2004,fbs,Chlidichthys,foudioides,4,NA,19,reef-associated,NA
1976,fbs,Chlidichthys,inornatus,3.900000095,NA,NA,reef-associated,NA
1953,fbs,Chlidichthys,johnvoelckeri,6,NA,47.5,reef-associated,NA
1954,fbs,Chlidichthys,pembae,5,NA,18.5,reef-associated,NA
1977,fbs,Chlidichthys,randalli,3.5,NA,12.5,reef-associated,NA
1975,fbs,Chlidichthys,rubiceps,NA,NA,NA,demersal,NA
1977,fbs,Chlidichthys,smithae,3.400000095,NA,16,reef-associated,NA
1938,fbs,Chlopsis,apterus,25,NA,105,demersal,NA
1941,fbs,Chlopsis,bicollaris,20,NA,NA,demersal,NA
1810,fbs,Chlopsis,bicolor,42,NA,222.5,demersal,NA
2003,fbs,Chlopsis,bidentatus,16.70000076,NA,401.5,bathydemersal,NA
1917,fbs,Chlopsis,dentatus,19.89999962,NA,209.5,demersal,0
1988,fbs,Chlopsis,kazuko,11.30000019,NA,75,demersal,NA
1899,fbs,Chlopsis,longidens,NA,NA,1592,bathypelagic,NA
2015,fbs,Chlopsis,nanhaiensis,27,NA,NA,benthopelagic,NA
1966,fbs,Chlopsis,olokun,30.20000076,NA,123,demersal,NA
2015,fbs,Chlopsis,orientalis,26.89999962,NA,NA,benthopelagic,NA
2015,fbs,Chlopsis,sagmacollaris,22.79999924,NA,401,benthopelagic,NA
2003,fbs,Chlopsis,slusserorum,14.10000038,NA,426.5,bathydemersal,NA
1940,fbs,Chlorophthalmus,acutifrons,30,NA,575,demersal,1
1840,fbs,Chlorophthalmus,agassizi,40,NA,525,bathydemersal,1
1904,fbs,Chlorophthalmus,albatrossis,15,NA,325,bathydemersal,1
1953,fbs,Chlorophthalmus,atlanticus,25,NA,255,bathydemersal,NA
1941,fbs,Chlorophthalmus,borealis,NA,NA,253,bathydemersal,1
1958,fbs,Chlorophthalmus,brasiliensis,24.20000076,91.5,NA,bathydemersal,NA
1881,fbs,Chlorophthalmus,chalybeius,NA,NA,NA,bathydemersal,NA
1894,fbs,Chlorophthalmus,corniger,17,NA,361.5,bathydemersal,0
1986,fbs,Chlorophthalmus,ichthyandri,NA,NA,NA,bathydemersal,NA
1899,fbs,Chlorophthalmus,mento,NA,NA,453.5,bathydemersal,0
1953,fbs,Chlorophthalmus,nigromarginatus,23,91,234.5,demersal,NA
1984,fbs,Chlorophthalmus,pectoralis,NA,NA,NA,bathydemersal,NA
1897,fbs,Chlorophthalmus,proridens,NA,NA,414.5,bathydemersal,NA
1904,fbs,Chlorophthalmus,punctatus,20,NA,NA,bathydemersal,0
1986,fbs,Chlorophthalmus,zvezdae,NA,NA,NA,bathydemersal,NA
1766,fbs,Chloroscombrus,chrysurus,65,32,55,pelagic-neritic,1
1883,fbs,Chloroscombrus,orqueta,30,NA,NA,benthopelagic,1
1983,fbs,Chlorurus,atrilunula,30,NA,8,reef-associated,1
1940,fbs,Chlorurus,bleekeri,49,NA,19,reef-associated,1
1909,fbs,Chlorurus,bowersi,40,NA,11,reef-associated,NA
1847,fbs,Chlorurus,capistratoides,40,NA,10,reef-associated,NA
1840,fbs,Chlorurus,cyanescens,50,NA,NA,reef-associated,1
1802,fbs,Chlorurus,enneacanthus,50,NA,4,reef-associated,1
1840,fbs,Chlorurus,frontalis,50,NA,25,reef-associated,NA
1983,fbs,Chlorurus,genazonatus,31,NA,NA,reef-associated,1
1829,fbs,Chlorurus,gibbus,70,4000,NA,reef-associated,1
1789,fbs,Chlorurus,japanensis,31,700,10.5,reef-associated,1
1854,fbs,Chlorurus,microrhinos,70,5400,25.5,reef-associated,NA
1909,fbs,Chlorurus,oedema,42,NA,25.5,reef-associated,NA
1879,fbs,Chlorurus,perspicillatus,60.90000153,7000,36,reef-associated,NA
1997,fbs,Chlorurus,rhakoura,44.20000076,NA,15.5,reef-associated,NA
1775,fbs,Chlorurus,sordidus,40,NA,25,reef-associated,1
1840,fbs,Chlorurus,spilurus,NA,NA,NA,reef-associated,NA
1855,fbs,Chlorurus,strongylocephalus,70,NA,18.5,reef-associated,1
1853,fbs,Chlorurus,troschelii,34.59999847,NA,15,reef-associated,NA
1791,fbs,Choerodon,anchorago,50,NA,13,reef-associated,1
2017,fbs,Choerodon,aurulentus,78.09999847,NA,85,demersal,NA
1901,fbs,Choerodon,azurio,40,NA,NA,reef-associated,NA
1987,fbs,Choerodon,cauteroma,36,NA,NA,reef-associated,NA
1875,fbs,Choerodon,cephalotes,38,365,NA,reef-associated,1
1843,fbs,Choerodon,cyanodus,70,NA,NA,reef-associated,NA
2017,fbs,Choerodon,cypselurus,23.39999962,NA,NA,demersal,NA
1867,fbs,Choerodon,fasciatus,30,NA,20,reef-associated,1
1910,fbs,Choerodon,frenatus,NA,NA,NA,demersal,NA
2002,fbs,Choerodon,gomoni,10.30000019,NA,NA,demersal,NA
1885,fbs,Choerodon,graphicus,51.5,NA,27.5,reef-associated,1
1867,fbs,Choerodon,gymnogenys,20,NA,NA,reef-associated,NA
1958,fbs,Choerodon,japonicus,15.19999981,NA,107.5,demersal,NA
1908,fbs,Choerodon,jordani,17,NA,22.5,reef-associated,NA
1928,fbs,Choerodon,margaritiferus,11,NA,NA,demersal,NA
1928,fbs,Choerodon,melanostigma,NA,NA,NA,reef-associated,NA
1910,fbs,Choerodon,monostigma,25,NA,25,demersal,NA
1851,fbs,Choerodon,oligacanthus,28.20000076,NA,8.5,reef-associated,NA
1945,fbs,Choerodon,paynei,NA,NA,NA,reef-associated,NA
1862,fbs,Choerodon,robustus,35,NA,55,reef-associated,1
1862,fbs,Choerodon,rubescens,90,NA,NA,reef-associated,NA
1839,fbs,Choerodon,schoenleinii,100,15500,35,reef-associated,1
2017,fbs,Choerodon,skaiopygmaeus,13.80000019,NA,42.5,demersal,NA
1987,fbs,Choerodon,sugillatum,24,NA,NA,demersal,NA
1884,fbs,Choerodon,venustus,65,NA,NA,reef-associated,NA
1910,fbs,Choerodon,vitta,20,NA,25,demersal,NA
1907,fbs,Choerodon,zamboangae,45,NA,42.5,reef-associated,NA
1868,fbs,Choerodon,zosterophorus,25,NA,25,demersal,NA
1855,fbs,Choeroichthys,brachysoma,7,NA,13.5,reef-associated,0
1976,fbs,Choeroichthys,cinctus,8,NA,25,demersal,0
2020,fbs,Choeroichthys,hadiatyae,NA,NA,10.5,demersal,NA
1978,fbs,Choeroichthys,latispinosus,NA,NA,NA,reef-associated,NA
1870,fbs,Choeroichthys,sculptus,8.5,NA,3,reef-associated,0
1976,fbs,Choeroichthys,smithi,5,NA,NA,demersal,NA
1951,fbs,Choeroichthys,suillus,6.75,NA,7,reef-associated,NA
1981,fbs,Choranthias,salmopunctatus,6.070000172,NA,42.5,demersal,NA
1920,fbs,Choranthias,tenuis,NA,NA,NA,benthopelagic,NA
1995,fbs,Choridactylus,lineatus,25,NA,NA,demersal,NA
1848,fbs,Choridactylus,multibarbus,14,64,NA,demersal,1
1902,fbs,Choridactylus,natalensis,14,NA,55,demersal,NA
1993,fbs,Choridactylus,striatus,15.89999962,NA,29.5,demersal,NA
1769,fbs,Chorisochismus,dentex,30,NA,NA,demersal,NA
1882,fbs,Chriodorus,atherinoides,26,84.19999695,NA,pelagic-neritic,NA
1997,fbs,Chriolepis,atrimelum,NA,NA,141.5,demersal,NA
1953,fbs,Chriolepis,benthonis,NA,NA,252,demersal,NA
2013,fbs,Chriolepis,bilix,2.99000001,NA,100,benthopelagic,NA
1990,fbs,Chriolepis,cuneata,NA,NA,NA,demersal,NA
1990,fbs,Chriolepis,dialepta,NA,NA,NA,demersal,NA
1942,fbs,Chriolepis,fisheri,2.5,NA,NA,reef-associated,NA
1975,fbs,Chriolepis,lepidota,NA,NA,NA,demersal,NA
1892,fbs,Chriolepis,minutilla,3.200000048,NA,29,demersal,NA
1939,fbs,Chriolepis,roosevelti,6.099999905,NA,NA,reef-associated,NA
1904,fbs,Chriolepis,semisquamata,6.300000191,NA,11,reef-associated,NA
1953,fbs,Chriolepis,tagus,1.600000024,NA,NA,demersal,NA
1981,fbs,Chriolepis,vespa,3.799999952,NA,109,demersal,NA
1938,fbs,Chriolepis,zebra,4.400000095,NA,16,demersal,NA
1971,fbs,Chrionema,chlorotaenia,22,NA,NA,bathydemersal,NA
1905,fbs,Chrionema,chryseres,21,NA,412.5,bathydemersal,NA
1982,fbs,Chrionema,furunoi,21,NA,NA,bathydemersal,NA
1990,fbs,Chrionema,pallidum,13.19999981,NA,290,bathydemersal,NA
1955,fbs,Chrionema,squamentum,11,NA,NA,bathydemersal,NA
1905,fbs,Chrionema,squamiceps,NA,NA,387,bathydemersal,NA
2001,fbs,Chromis,abrupta,5.360000134,NA,11,reef-associated,NA
1985,fbs,Chromis,abyssicola,12.5,NA,121,reef-associated,NA
2008,fbs,Chromis,abyssus,9.800000191,NA,128.5,reef-associated,NA
1973,fbs,Chromis,acares,4,NA,19.5,reef-associated,NA
1960,fbs,Chromis,agilis,4.900000095,NA,30,reef-associated,NA
2009,fbs,Chromis,albicauda,13.36999989,NA,47.5,reef-associated,NA
1960,fbs,Chromis,albomaculata,15,NA,26,reef-associated,NA
1981,fbs,Chromis,alleni,6.5,NA,20,reef-associated,NA
1988,fbs,Chromis,alpha,8.5,NA,53.5,reef-associated,NA
1980,fbs,Chromis,alta,13,NA,90,reef-associated,NA
1871,fbs,Chromis,amboinensis,10,NA,37.5,reef-associated,NA
1830,fbs,Chromis,analis,17,NA,77,reef-associated,NA
2008,fbs,Chromis,athena,5.429999828,NA,62.5,reef-associated,NA
1862,fbs,Chromis,atrilobata,13.39999962,NA,43,reef-associated,NA
1951,fbs,Chromis,atripectoralis,12,NA,15,reef-associated,0
1928,fbs,Chromis,atripes,9,NA,21,reef-associated,NA
1831,fbs,Chromis,axillaris,10,NA,70,demersal,NA
1992,fbs,Chromis,bami,5.849999905,NA,28.5,reef-associated,NA
2019,fbs,Chromis,bowesi,8.210000038,NA,100,reef-associated,NA
2008,fbs,Chromis,brevirostris,6.849999905,NA,81,reef-associated,NA
1951,fbs,Chromis,cadenati,16.5,NA,40,reef-associated,1
1988,fbs,Chromis,caudalis,7.5,NA,35,reef-associated,NA
1758,fbs,Chromis,chromis,25,NA,21,reef-associated,1
1883,fbs,Chromis,chrysura,14,NA,25.5,reef-associated,NA
1830,fbs,Chromis,cinerascens,13,NA,9,reef-associated,NA
2008,fbs,Chromis,circumaurea,10.23999977,NA,NA,reef-associated,NA
1833,fbs,Chromis,crusma,14,NA,NA,reef-associated,NA
1860,fbs,Chromis,cyanea,15,NA,31.5,reef-associated,NA
1935,fbs,Chromis,dasygenys,12,NA,7,reef-associated,0
2008,fbs,Chromis,degruyi,8.239999771,NA,102.5,reef-associated,NA
1988,fbs,Chromis,delta,7,NA,45,reef-associated,NA
1871,fbs,Chromis,dimidiata,9,NA,18.5,reef-associated,NA
1923,fbs,Chromis,dispilus,21,NA,30,pelagic-neritic,NA
2010,fbs,Chromis,durvillei,7.599999905,NA,NA,reef-associated,NA
2008,fbs,Chromis,earina,6.630000114,NA,88,reef-associated,NA
1928,fbs,Chromis,elerae,7,NA,41,reef-associated,NA
1882,fbs,Chromis,enchrysurus,10,NA,51,reef-associated,NA
2001,fbs,Chromis,fatuhivae,6.105000019,NA,19.5,reef-associated,NA
2013,fbs,Chromis,fieldi,5.099999905,NA,20.5,reef-associated,NA
2001,fbs,Chromis,flavapicis,10.10000038,NA,NA,reef-associated,NA
1994,fbs,Chromis,flavaxilla,7.199999809,NA,9,reef-associated,NA
1880,fbs,Chromis,flavicauda,7,NA,55.5,reef-associated,NA
1988,fbs,Chromis,flavipectoralis,8,NA,8.5,reef-associated,NA
1960,fbs,Chromis,flavomaculata,16,NA,23,reef-associated,NA
1917,fbs,Chromis,fumea,10,NA,37.5,reef-associated,NA
2019,fbs,Chromis,gunting,7.739999771,NA,110,reef-associated,NA
2019,fbs,Chromis,hangganan,5.78000021,NA,110,reef-associated,NA
1973,fbs,Chromis,hanui,6,NA,28,reef-associated,NA
2014,fbs,Chromis,howsoni,5.619999886,NA,33.5,reef-associated,NA
1867,fbs,Chromis,hypsilepis,16,NA,24.5,reef-associated,NA
1830,fbs,Chromis,insolata,16,NA,60,reef-associated,NA
1917,fbs,Chromis,intercrusma,29,NA,7.5,reef-associated,NA
1906,fbs,Chromis,iomelas,8,NA,19,reef-associated,NA
1995,fbs,Chromis,jubauna,7.420000076,NA,15.5,reef-associated,NA
1964,fbs,Chromis,kennensis,NA,NA,NA,reef-associated,NA
1929,fbs,Chromis,klunzingeri,6.5,NA,11,reef-associated,NA
1877,fbs,Chromis,lepidolepis,9,NA,22.5,reef-associated,0
1905,fbs,Chromis,leucura,8.5,NA,69.5,reef-associated,NA
1833,fbs,Chromis,limbata,12,NA,25,reef-associated,1
1980,fbs,Chromis,limbaughi,11.30000019,NA,39.5,reef-associated,NA
1928,fbs,Chromis,lineata,7,NA,18.5,reef-associated,NA
1986,fbs,Chromis,lubbocki,12.5,NA,7.5,reef-associated,NA
2020,fbs,Chromis,mamatapara,11.46000004,NA,160,reef-associated,NA
1946,fbs,Chromis,margaritifer,9,NA,11,reef-associated,NA
1980,fbs,Chromis,meridiana,11,NA,21.5,reef-associated,NA
1917,fbs,Chromis,mirationis,11,NA,124,reef-associated,NA
2004,fbs,Chromis,monochroma,5.130000114,NA,47.5,reef-associated,NA
1853,fbs,Chromis,multilineata,20,NA,30,reef-associated,0
1988,fbs,Chromis,nigroanalis,12,NA,30,reef-associated,NA
1960,fbs,Chromis,nigrura,6,NA,15.5,reef-associated,0
1928,fbs,Chromis,nitida,7,NA,15,reef-associated,NA
1843,fbs,Chromis,notata,17,NA,8.5,reef-associated,NA
1989,fbs,Chromis,okamurai,9.399999619,NA,155,reef-associated,NA
2007,fbs,Chromis,onumai,12.57999992,NA,70.5,reef-associated,NA
1867,fbs,Chromis,opercularis,17,NA,22,reef-associated,0
1900,fbs,Chromis,ovalis,15,NA,83.5,reef-associated,NA
1946,fbs,Chromis,ovatiformes,10,NA,25,reef-associated,NA
2020,fbs,Chromis,pacifica,7.599999905,NA,30.5,reef-associated,0
1992,fbs,Chromis,pamae,10.38000011,NA,24,reef-associated,NA
1982,fbs,Chromis,pelloura,14,NA,40,reef-associated,NA
1960,fbs,Chromis,pembae,13,NA,31,reef-associated,NA
2004,fbs,Chromis,planesi,10.18000031,NA,52,pelagic-neritic,NA
1863,fbs,Chromis,punctipinnis,25,NA,24,reef-associated,1
2004,fbs,Chromis,pura,7.630000114,NA,NA,benthopelagic,NA
1970,fbs,Chromis,randalli,15,NA,17.5,reef-associated,NA
1913,fbs,Chromis,retrofasciata,6,NA,66,reef-associated,NA
1987,fbs,Chromis,sanctaehelenae,13,NA,20,reef-associated,NA
1918,fbs,Chromis,scotochiloptera,16,NA,11,reef-associated,NA
1968,fbs,Chromis,scotti,10,NA,65.5,reef-associated,NA
1973,fbs,Chromis,struhsakeri,13,NA,200.5,benthopelagic,NA
1856,fbs,Chromis,ternatensis,10.5,NA,19,reef-associated,0
2019,fbs,Chromis,tingting,9.850000381,NA,40,reef-associated,NA
1981,fbs,Chromis,trialpha,6,NA,26.5,reef-associated,NA
2009,fbs,Chromis,unipa,5.039999962,NA,56,reef-associated,NA
2020,fbs,Chromis,vanbebberae,9.840000153,NA,113.5,reef-associated,NA
1941,fbs,Chromis,vanderbilti,6,NA,11,reef-associated,NA
1912,fbs,Chromis,verater,16,NA,83,reef-associated,NA
1830,fbs,Chromis,viridis,10,NA,10.5,reef-associated,NA
1928,fbs,Chromis,weberi,13.5,NA,21.5,reef-associated,0
1976,fbs,Chromis,westaustralis,8.5,NA,38.5,reef-associated,NA
1979,fbs,Chromis,woodsi,9.5,NA,112.5,demersal,NA
1851,fbs,Chromis,xanthochira,14,NA,29,reef-associated,NA
1988,fbs,Chromis,xanthopterygia,11.5,NA,12.5,reef-associated,NA
1854,fbs,Chromis,xanthura,17,NA,21.5,reef-associated,NA
2005,fbs,Chromis,xouthos,9.229999542,NA,31,reef-associated,NA
1988,fbs,Chromis,xutha,7,NA,11,reef-associated,NA
2013,fbs,Chromis,yamakawai,13.07999992,NA,14,reef-associated,NA
2001,fbs,Chromogobius,britoi,3.369999886,NA,35.5,demersal,NA
1863,fbs,Chromogobius,quadrivittatus,6.550000191,NA,NA,demersal,NA
1891,fbs,Chromogobius,zebratus,5.300000191,NA,NA,demersal,NA
1974,fbs,Chrysiptera,galba,7,NA,15.5,reef-associated,NA
2008,fbs,Chrysiptera,giti,3.599999905,NA,11.5,reef-associated,NA
1830,fbs,Chrysiptera,glauca,11.5,NA,1.5,reef-associated,1
1913,fbs,Chrysiptera,hemicyanea,7,NA,19.5,reef-associated,NA
1995,fbs,Chrysiptera,kuiteri,7.5,NA,22.5,reef-associated,NA
1975,fbs,Chrysiptera,niger,7,NA,1,reef-associated,NA
1975,fbs,Chrysiptera,notialis,9,NA,26,reef-associated,NA
1877,fbs,Chrysiptera,oxycephala,9,NA,8.5,reef-associated,NA
1918,fbs,Chrysiptera,parasema,7,NA,8.5,reef-associated,NA
1992,fbs,Chrysiptera,pricei,5,NA,6.5,reef-associated,NA
1970,fbs,Chrysiptera,rapanui,5.5,NA,20.5,reef-associated,NA
1909,fbs,Chrysiptera,rex,7,NA,10.5,reef-associated,NA
1961,fbs,Chrysiptera,rollandi,7.5,NA,18.5,reef-associated,0
1994,fbs,Chrysiptera,sheila,10.30000019,NA,1.5,demersal,NA
1987,fbs,Chrysiptera,sinclairi,5,NA,8,reef-associated,NA
1976,fbs,Chrysiptera,springeri,5.5,NA,17,reef-associated,NA
1973,fbs,Chrysiptera,starcki,7,NA,40,reef-associated,NA
1975,fbs,Chrysiptera,talboti,6,NA,19,reef-associated,NA
1906,fbs,Chrysiptera,taupou,8,NA,5,reef-associated,NA
1960,fbs,Chrysiptera,traceyi,4.5,NA,22.5,reef-associated,NA
1974,fbs,Chrysiptera,tricincta,6,NA,50,reef-associated,NA
1830,fbs,Chrysiptera,unimaculata,10,NA,1.5,reef-associated,1
2018,fbs,Chrysiptera,uswanasi,4.53000021,NA,9,reef-associated,NA
1908,fbs,Chrysoblephus,anglicus,100,6600,60,reef-associated,1
1830,fbs,Chrysoblephus,cristiceps,75,7300,65,demersal,1
1830,fbs,Chrysoblephus,gibbiceps,75,5800,35,demersal,1
1830,fbs,Chrysoblephus,laticeps,50,4200,50.5,demersal,1
1925,fbs,Chrysoblephus,lophus,50,NA,NA,demersal,1
1908,fbs,Chrysoblephus,puniceus,85,NA,55,demersal,1
1846,fbs,Chrysochir,aureus,30,NA,NA,benthopelagic,1
1758,fbs,Ciliata,mustela,25,NA,19.5,demersal,1
1875,fbs,Ciliata,septentrionalis,20,NA,50,demersal,1
1994,fbs,Ciliata,tchangi,NA,NA,NA,demersal,NA
1899,fbs,Cilus,gilberti,92,NA,NA,demersal,1
1836,fbs,Cirrhibarbis,capensis,36,NA,NA,demersal,NA
1973,fbs,Cirrhigaleus,asper,120,NA,425,bathydemersal,0
2007,fbs,Cirrhigaleus,australis,NA,NA,500,pelagic-oceanic,NA
1912,fbs,Cirrhigaleus,barbifer,126,NA,395,bathydemersal,0
1998,fbs,Cirrhilabrus,adornatus,6.340000153,NA,20,reef-associated,NA
2016,fbs,Cirrhilabrus,africanus,6.519999981,NA,34,reef-associated,NA
1999,fbs,Cirrhilabrus,aurantidorsalis,10,NA,17.5,reef-associated,NA
1988,fbs,Cirrhilabrus,balteatus,10,NA,14.5,reef-associated,NA
2002,fbs,Cirrhilabrus,bathyphilus,7.599999905,NA,138.5,reef-associated,NA
2008,fbs,Cirrhilabrus,beauperryi,8.510000229,NA,18.5,reef-associated,NA
1974,fbs,Cirrhilabrus,blatteus,16,NA,45,reef-associated,NA
2020,fbs,Cirrhilabrus,briangreenei,7.360000134,NA,70,reef-associated,NA
2006,fbs,Cirrhilabrus,brunneus,4.360000134,NA,45,reef-associated,NA
2006,fbs,Cirrhilabrus,cenderawasih,6.510000229,NA,41,reef-associated,NA
2001,fbs,Cirrhilabrus,claire,8.399999619,NA,77.5,reef-associated,NA
1996,fbs,Cirrhilabrus,condei,8,NA,37.5,reef-associated,NA
2018,fbs,Cirrhilabrus,cyanogularis,6.159999847,NA,NA,reef-associated,NA
1851,fbs,Cirrhilabrus,cyanopleura,15,NA,16,reef-associated,NA
2001,fbs,Cirrhilabrus,earlei,6.909999847,NA,76,reef-associated,NA
2017,fbs,Cirrhilabrus,efatensis,6.940000057,NA,45,reef-associated,NA
1957,fbs,Cirrhilabrus,exquisitus,12,NA,23,reef-associated,NA
1976,fbs,Cirrhilabrus,filamentosus,8,NA,22.5,reef-associated,NA
1980,fbs,Cirrhilabrus,flavidorsalis,6.5,NA,23,reef-associated,NA
2017,fbs,Cirrhilabrus,greeni,4.730000019,NA,29,reef-associated,NA
2012,fbs,Cirrhilabrus,humanni,5.449999809,NA,17.5,reef-associated,NA
2016,fbs,Cirrhilabrus,hygroxerus,5.610000134,NA,27.5,reef-associated,NA
2016,fbs,Cirrhilabrus,isosceles,5.670000076,NA,42,reef-associated,NA
2000,fbs,Cirrhilabrus,joanallenae,8.5,NA,26,pelagic-neritic,NA
1988,fbs,Cirrhilabrus,johnsoni,6,NA,23,reef-associated,NA
1904,fbs,Cirrhilabrus,jordani,10,NA,95.5,reef-associated,0
1992,fbs,Cirrhilabrus,katherinae,7.099999905,NA,25,reef-associated,NA
2000,fbs,Cirrhilabrus,katoi,7.510000229,NA,30,demersal,NA
1982,fbs,Cirrhilabrus,laboutei,12,NA,31,reef-associated,NA
1991,fbs,Cirrhilabrus,lanceolatus,8.800000191,NA,51,reef-associated,NA
1982,fbs,Cirrhilabrus,lineatus,12,NA,28,reef-associated,NA
1980,fbs,Cirrhilabrus,lubbocki,8,NA,24.5,reef-associated,NA
1991,fbs,Cirrhilabrus,lunatus,8.489999771,NA,42.5,reef-associated,NA
1988,fbs,Cirrhilabrus,luteovittatus,12,NA,18.5,reef-associated,NA
2015,fbs,Cirrhilabrus,marinda,4.590000153,NA,32.5,reef-associated,NA
2003,fbs,Cirrhilabrus,marjorie,5.789999962,NA,35,reef-associated,NA
1978,fbs,Cirrhilabrus,melanomarginatus,13,NA,23,reef-associated,NA
1999,fbs,Cirrhilabrus,morrisoni,5.5,NA,29,reef-associated,NA
2012,fbs,Cirrhilabrus,nahackyi,6.5,NA,NA,reef-associated,NA
2009,fbs,Cirrhilabrus,naokoae,6,NA,NA,reef-associated,NA
1989,fbs,Cirrhilabrus,punctatus,13,NA,40,reef-associated,NA
1996,fbs,Cirrhilabrus,pylei,9,NA,82.5,reef-associated,NA
1995,fbs,Cirrhilabrus,randalli,8.449999809,NA,25,reef-associated,NA
1988,fbs,Cirrhilabrus,rhomboidalis,8.5,NA,NA,reef-associated,NA
1982,fbs,Cirrhilabrus,roseafascia,10,NA,65,reef-associated,NA
2016,fbs,Cirrhilabrus,rubeus,5.349999905,NA,NA,reef-associated,NA
1992,fbs,Cirrhilabrus,rubrimarginatus,12.19999981,NA,38.5,reef-associated,NA
1980,fbs,Cirrhilabrus,rubripinnis,9.100000381,NA,21,reef-associated,NA
1983,fbs,Cirrhilabrus,rubrisquamis,7.199999809,NA,44.5,reef-associated,NA
1974,fbs,Cirrhilabrus,rubriventralis,7.5,NA,23,reef-associated,NA
1904,fbs,Cirrhilabrus,ryukyuensis,NA,NA,NA,reef-associated,NA
1987,fbs,Cirrhilabrus,sanguineus,6.699999809,NA,NA,demersal,NA
1989,fbs,Cirrhilabrus,scottorum,13,NA,21.5,reef-associated,NA
2017,fbs,Cirrhilabrus,shutmani,5.570000172,NA,60,reef-associated,NA
1853,fbs,Cirrhilabrus,solorensis,11,NA,20,reef-associated,NA
2014,fbs,Cirrhilabrus,squirei,5.599999905,NA,46.5,reef-associated,NA
1853,fbs,Cirrhilabrus,temminckii,9.899999619,NA,19,reef-associated,NA
1999,fbs,Cirrhilabrus,tonozukai,7.5,NA,27.5,demersal,NA
2019,fbs,Cirrhilabrus,wakanda,7.03000021,NA,65,pelagic-neritic,NA
1996,fbs,Cirrhilabrus,walindi,7,NA,42.5,reef-associated,NA
2001,fbs,Cirrhilabrus,walshi,6.28000021,NA,41.5,reef-associated,NA
1870,fbs,Cirrhimuraena,calamus,NA,NA,NA,demersal,NA
1860,fbs,Cirrhimuraena,cheilopogon,NA,NA,NA,demersal,NA
1856,fbs,Cirrhimuraena,chinensis,54.79999924,NA,NA,demersal,NA
1962,fbs,Cirrhimuraena,inhacae,23,NA,NA,demersal,NA
1910,fbs,Cirrhimuraena,oliveri,NA,NA,NA,demersal,NA
1993,fbs,Cirrhimuraena,orientalis,NA,NA,NA,demersal,NA
1931,fbs,Cirrhimuraena,paucidens,NA,NA,NA,demersal,NA
1870,fbs,Cirrhimuraena,playfairii,39,NA,NA,demersal,NA
1863,fbs,Cirrhimuraena,tapeinoptera,NA,NA,NA,demersal,NA
2003,fbs,Cirrhimuraena,yuanding,52.04999924,NA,NA,demersal,NA
1829,fbs,Cirrhitichthys,aprinus,12.5,NA,22.5,reef-associated,0
1842,fbs,Cirrhitichthys,aureus,14,NA,12.5,reef-associated,NA
1874,fbs,Cirrhitichthys,bleekeri,8.199999809,NA,NA,reef-associated,NA
1905,fbs,Cirrhitichthys,calliurus,12,NA,22.5,reef-associated,NA
1963,fbs,Cirrhitichthys,falco,7,NA,25,reef-associated,0
1880,fbs,Cirrhitichthys,guichenoti,12,NA,25,reef-associated,NA
1855,fbs,Cirrhitichthys,oxycephalus,10,NA,20.5,reef-associated,NA
1976,fbs,Cirrhitichthys,randalli,NA,NA,60,reef-associated,NA
1828,fbs,Cirrhitops,fasciatus,12.69999981,NA,26.5,reef-associated,NA
1943,fbs,Cirrhitops,hubbardi,25,NA,NA,reef-associated,NA
2008,fbs,Cirrhitops,mascarenensis,7.5,NA,NA,pelagic-neritic,NA
1950,fbs,Cirrhitus,albopunctatus,NA,NA,NA,demersal,NA
1893,fbs,Cirrhitus,atlanticus,16,NA,NA,demersal,NA
1801,fbs,Cirrhitus,pinnulatus,30,NA,11.5,reef-associated,1
1846,fbs,Cirrhitus,rivulatus,60,4160,14,reef-associated,1
1913,fbs,Cirrhoscyllium,expolitum,34,NA,185,demersal,NA
1959,fbs,Cirrhoscyllium,formosanum,39,NA,215,demersal,0
1943,fbs,Cirrhoscyllium,japonicum,48.5,NA,270,bathydemersal,0
1953,fbs,Cirricaecula,johnsoni,40,NA,NA,reef-associated,NA
1993,fbs,Cirricaecula,macdowelli,22.79999924,NA,NA,demersal,NA
1963,fbs,Cirriemblemaria,lucasana,4,NA,20,reef-associated,NA
1995,fbs,Cirrimaxilla,formosa,NA,NA,2.5,demersal,NA
1899,fbs,Cirripectes,alboapicalis,15.5,NA,5,reef-associated,0
1993,fbs,Cirripectes,alleni,6.5,NA,8,reef-associated,NA
1981,fbs,Cirripectes,auritus,7.099999905,NA,10,reef-associated,0
1836,fbs,Cirripectes,castaneus,9.199999809,NA,16,reef-associated,NA
1984,fbs,Cirripectes,chelomatus,9.399999619,NA,8,reef-associated,0
1877,fbs,Cirripectes,filamentosus,7.5,NA,10,reef-associated,0
1953,fbs,Cirripectes,fuscoguttatus,10.60000038,NA,4,reef-associated,0
1988,fbs,Cirripectes,gilberti,10.19999981,NA,4,reef-associated,0
2010,fbs,Cirripectes,heemstraorum,4.849999905,NA,9,reef-associated,NA
1988,fbs,Cirripectes,hutchinsi,10.60000038,NA,11.5,reef-associated,0
1985,fbs,Cirripectes,imitator,9.300000191,NA,5,reef-associated,0
1943,fbs,Cirripectes,jenningsi,7.599999905,NA,5,demersal,0
1984,fbs,Cirripectes,kuwamurai,5.590000153,NA,2.5,demersal,0
